block,ID,trt,rack,cone,stem_diam_mm,longest_leaf_mm,ll_cotyl,height_cm,number_true_leaves,number_cotyledons,pick_type,notes
SQ3 B2,D1-S1-6,6,C11,1,0.44,5,,0.5,4,0,OP,
SQ3 B3,D1-S2-5,6,C11,2,0.55,9,,0.1,5,2,WP,
SQ3 B1,D1-S1-9,6,C11,3,0.59,10,,1.3,5,2,WP,
SQ3 B2,D1-S1-1,6,C11,4,0.56,9,,0.9,4,1,RS,
DPR B1,D1-S2-5,6,C11,5,0.78,16,,4,5,2,GP,
LV3 B1,D1-S2-3,6,C11,6,1.02,9,,1.6,6,2,OP,
WL1 B1,D2-S1-4,6,C11,7,0.82,10,,1.6,5,2,GP,
DPR B1,D1-S1-6,6,C11,8,0.89,11,,3.4,7,2,GP,
LV3 B2,D2-S2-8,6,C11,9,0.8,9,,1.9,6,2,WP,
SQ3 B2,D1-S1-10,6,C11,10,0.58,8,,1.1,3,2,OP,
SQ3 B1,D2-S1-3,6,C11,11,0.57,9,,1,4,2,BP,
SQ3 B3,D1-S2-2,6,C11,12,0.98,11,,1.4,6,2,WP,
LV3 B2,D2-S1-9,6,C11,13,0.86,11,,1.7,6,2,BP,
LV3 B1,D1-S2-10,6,C11,14,0.8,9,,1.6,6,2,GP,
SQ3 B1,D1-S1-5,6,C11,15,0.8,12,,1,5,2,OS,
LV3 B2,D1-S1-10,6,C11,16,0.85,11,,2.5,6,2,BP,
SQ3 B3,D1-S2-7,6,C11,17,0.85,11,,1.3,5,2,WP,
SQ3 B2,D1-S1-5,6,C11,18,0.6,7,,0.4,5,0,OS,
SQ3 B1,D1-S1-2,6,C11,19,0.73,12,,2.1,5,2,OP,
SQ3 B1,D1-S2-3,6,C11,20,0.67,13,,1.7,5,2,OP,
LV3 B1,D1-S1-7,6,C11,21,0.81,11,,1.7,6,2,OP,
SQ3 B2,D2-S1-3,6,C11,22,0.73,12,,1.7,6,1,BP,
SQ3 B1,D1-S1-4,6,C11,23,0.81,11,,1.8,5,2,WP,
WL1 B1,D2-S2-3,6,C11,24,0.95,9,,1.6,9,2,GP,
WL1 B2,D1-S2-1,6,C11,25,0.92,13,,2.1,5,2,GP,
SQ3 B2,D1-S1-4,6,C11,26,0.44,5,,0.4,4,2,RS,
SQ3 B3,D1-S2-10,6,C11,27,0.91,11,,1.9,6,2,OP,
LV3 B1,D1-S2-1,6,C11,28,1,12,,1.9,6,2,WP,
DPR B2,D1-S1-1,6,C11,29,0.86,14,,2.9,5,2,GP,
SQ3 B1,D1-S2-8,6,C11,30,0.9,13,,1.8,6,0,OS,
WL1 B2,D1-S2-5,6,C11,31,0.79,16,,1.7,5,2,GP,
LV3 B1,D2-S2-3,6,C11,32,0.89,11,,1.7,6,1,OP,
LV3 B1,D1-S1-2,6,C11,33,0.88,9,,1,6,2,YP,
DPR B1,D1-S2-1,6,C11,34,0.93,16,,4.1,6,0,OP,
SQ3 B1,D1-S1-6,6,C11,35,0.64,11,,1.3,5,2,BS,
LV3 B3,D2-S1-2,6,C11,36,0.96,12,,2,6,0,BS,
LV3 B2,D2-S1-8,6,C11,37,0.83,13,,2.1,6,2,YP,
SQ3 B2,D1-S1-2,6,C11,38,0.85,13,,1.4,4,2,OS,
SQ3 B3,D1-S1-5,6,C11,39,0.64,8,,1.2,6,2,BP,
DPR B1,D1-S2-7,6,C11,40,0.9,15,,3.6,6,2,GP,
DPR B2,D2-S2-8,6,C11,41,0.84,13,,4.5,5,2,,
