block,ID,trt,rack,cone,stem_diam_mm,longest_leaf_mm,ll_cotyl,height_cm,number_true_leaves,number_cotyledons,pick_type,notes
LV3 B3,D2-S2-1,6,C9,30,0.5,14,,1.8,9,0,OP,
LV3 B3,D2-S1-6,6,C9,31,0.77,9,,2.1,6,2,OS,
SQ3 B1,D1-S1-1,6,C9,32,0.28,10,,1.5,5,2,BP,
DPR B2,D1-S1-7,6,C9,33,0.52,12,,3.2,5,1,YP,
LV3 B1,D2-S1-2,6,C9,34,0.58,9,,2.1,6,2,WP,
WL1 B1,D2-S1-1,6,C9,35,0.56,14,,1.6,5,2,YP,
SQ3 B2,D2-S1-7,6,C9,36,0.18,8,,1.3,5,2,BP,
SQ3 B3,D1-S1-6,6,C9,37,0.44,9,,1.7,6,2,OP,
WL1 B1,D2-S2-2,6,C9,38,0.68,11,,2.6,6,2,GP,
SQ3 B2,D2-S1-6,6,C9,39,0.74,10,,1.3,7,2,BP,
DPR B2,D1-S2-4,6,C9,40,0.74,15,,4.7,7,2,YP,
WL1 B2,D2-S2-1,6,C9,41,0.62,13,,1.9,6,2,GP,
SQ3 B3,D2-S2-3,6,C9,42,0.11,7,,1,5,2,OS,
WL1 B2,D2-S2-8,6,C9,43,0.28,8,,1.5,5,2,GP,
DPR B2,D2-S1-7,6,C9,44,0.51,15,,4.3,5,2,OP,
LV3 B3,D1-S1-4,6,C9,45,0.52,10,,2.1,6,2,OS,
WL1 B1,D1-S2-5,6,C9,46,0.57,12,,1.9,5,2,WP,
DPR B1,D2-S1-3,6,C9,47,0.43,11,,3.3,5,1,OS,
LV3 B1,D2-S1-9,6,C9,48,0.67,9,,2.1,7,2,OP,
LV3 B1,D1-S2-9,6,C9,49,0.57,10,,2,8,2,BP,
DPR B1,D1-S1-1,6,C9,50,0.56,16,,7.4,6,2,GP,
DPR B1,D2-S2-3,6,C9,51,0.55,13,,3.5,5,2,OS,
SQ3 B3,D2-S1-6,6,C9,52,0.39,10,,1,5,2,OS,
LV3 B2,D1-S1-1,6,C9,53,0.86,14,,2.6,7,2,WP,
DPR B1,D1-S2-3,6,C9,54,0.86,16,,4.4,7,2,GP,
WL1 B1,D2-S1-3,6,C9,55,0.44,11,,1.9,5,2,YP,
DPR B2,D2-S1-3,6,C9,56,0.53,16,,3.5,6,1,GP,
LV3 B2,D1-S2-8,6,C9,57,0.59,10,,2.3,7,2,OP,
LV3 B1,D2-S2-10,6,C9,58,0.29,9,,1.6,6,2,OP,
WL1 B2,D1-S1-10,6,C9,59,0.52,12,,3.1,5,2,OS,
WL1 B1,D2-S2-6,6,C9,60,0.51,10,,1.3,4,2,OP,
LV3 B2,D2-S1-4,6,C9,61,0.62,10,,1.8,6,2,BP,
LV3 B1,D2-S1-3,6,C9,62,0.6,8,,1.9,6,2,WP,
LV3 B2,D2-S2-1,6,C9,63,0.7,10,,3,7,2,BP,
SQ3 B3,D1-S1-8,6,C9,64,0.33,9,,2,6,2,OP,
LV3 B2,D2-S1-3,6,C9,65,0.32,11,,1.4,6,2,OS,
SQ3 B1,D1-S2-1,6,C9,66,0.45,14,,2.1,7,1,WP,
SQ3 B2,D2-S1-9,6,C9,67,0.31,7,,1.1,4,2,OS,
LV3 B2,D2-S1-10,6,C9,68,0.64,10,,2,5,2,WP,
LV3 B1,D1-S1-3,6,C9,69,0.67,10,,1.7,6,2,WP,
SQ3 B3,D1-S1-1,6,C9,70,0.49,6,,1.1,5,2,OP,
