block,ID,trt,rack,variable1
SQ3 B2,D1-S1-6,6,C11,0.295548761
SQ3 B3,D1-S2-5,6,C11,0.256791886
SQ3 B1,D1-S1-9,6,C11,0.833891281
SQ3 B2,D1-S1-1,6,C11,0.446414688
DPR B1,D1-S2-5,6,C11,0.714632928
LV3 B1,D1-S2-3,6,C11,0.330940169
WL1 B1,D2-S1-4,6,C11,0.301758782
DPR B1,D1-S1-6,6,C11,0.50299958
LV3 B1,D1-S1-7,6,C11,0.323709362
SQ3 B2,D2-S1-3,6,C11,0.350398748
SQ3 B1,D1-S1-4,6,C11,0.238311361
WL1 B1,D2-S2-3,6,C11,0.686261925
WL1 B2,D1-S2-1,6,C11,0.166438682
SQ3 B2,D1-S1-4,6,C11,0.042146863
SQ3 B3,D1-S2-10,6,C11,0.45536884
LV3 B1,D1-S2-1,6,C11,0.437578525
DPR B2,D1-S1-1,6,C11,0.470140437
SQ3 B1,D1-S2-8,6,C11,0.618717291
WL1 B2,D1-S2-5,6,C11,0.879014164
LV3 B1,D2-S2-3,6,C11,0.302098525
LV3 B1,D1-S1-2,6,C11,0.370592205
DPR B1,D1-S2-1,6,C11,0.795661786
SQ3 B1,D1-S1-6,6,C11,0.784504347
LV3 B3,D2-S1-2,6,C11,0.96424926
LV3 B2,D2-S1-8,6,C11,0.297745748
SQ3 B2,D1-S1-2,6,C11,0.359019665
SQ3 B3,D1-S1-5,6,C11,0.637050124
DPR B1,D1-S2-7,6,C11,0.546499846
DPR B2,D2-S2-8,6,C11,0.169527507
LV3 B2,D1-S1-9,6,C11,0.712992362
LV3 B1,D2-S1-4,6,C11,0.333302272
WL1 B2,D1-S1-7,6,C11,0.09980198
LV3 B1,D1-S2-2,6,C11,0.347721023
SQ3 B3,D2-S1-2,6,C11,0.365243665
LV3 B1,D1-S1-9,6,C11,0.277735034
DPR B2,D2-S1-4,6,C11,0.032017906
WL1 B1,D2-S1-9,6,C11,0.737638683
SQ3 B3,D1-S1-2,6,C11,0.092909831
DPR B2,D1-S1-10,6,C11,0.369090078
WL1 B2,D2-S2-9,6,C11,0.277186003
WL1 B2,D1-S1-3,6,C11,0.384838021
DPR B2,D1-S2-8,6,C11,0.208467665
WL1 B1,D1-S1-2,6,C11,0.533492372
DPR B1,D1-S1-8,6,C11,0.195531796
